TITLE,OWNER,MANAGERS,USERS,ITEMS
ADFO,Census_Bureau,"Census_Bureau, hollo330","denby002, vonst002",15
Census Bureau Authoritative,Census_Bureau,Census_Bureau,"jones037, mcard001, orsin001, PLead007, shaw0358",0
DFQM,Census_Bureau,"Census_Bureau, hollo330","denby002, vonst002",0
DSD-DIS,Census_Bureau,Census_Bureau,"fosto001, noura001",20
Esri On-Site Team,Census_Bureau,Census_Bureau,"haile006, li000341, shaw0358, smit0159, wrigh458",13
Featured Maps and Apps,Census_Bureau,Census_Bureau,csmb,0
FLD,Census_Bureau,"Census_Bureau, flemi316",,0
GEO-ADCPB,Census_Bureau,"Census_Bureau, misag001",,0
GEO-ASAB,Census_Bureau,"Census_Bureau, henri302",,0
GEO-CPSB,Census_Bureau,"Census_Bureau, hawle005, jones037, mcard001, orsin001","alkir001, barne435, cocke005, degen300, hays0307, jaroc001, mcint005, morit003, reid0003, spahl001, wilco001",3
GEO-FGCB,Census_Bureau,Census_Bureau,,0
GEO-GCSB,Census_Bureau,"Census_Bureau, grayf001",,0
GEO-GLIB,Census_Bureau,"Census_Bureau, watso356",,0
GEO-GSCQB,Census_Bureau,Census_Bureau,,0
GEO-PCOB,Census_Bureau,Census_Bureau,,0
GEO-SDUB,Census_Bureau,Census_Bureau,,0
POP,Census_Bureau,"azar0301, Census_Bureau",,0
RO-ATLANTA,Census_Bureau,Census_Bureau,,0
RO-CHICAGO,Census_Bureau,Census_Bureau,,0
RO-DENVER,Census_Bureau,"casta001, Census_Bureau",,0
RO-LOS_ANGELES,Census_Bureau,Census_Bureau,,0
RO-NEW_YORK,Census_Bureau,Census_Bureau,,0
RO-PHILADELPHIA,Census_Bureau,Census_Bureau,,0
Training,Census_Bureau,"Census_Bureau, PLead007","CPub007, haile006",0
