Resource,Capability,Method,Count,Count_Pct,Avg,Min,P5,P25,P50,P75,P95,P99,Max,Stdev,Sum,Sum_Pct
Audit_Data.MapServer,MapServer,layers/3/query,2450.0,0.07164,0.018954427912831306,0.0004900000058114529,0.000859999970998615,0.0011099999537691474,0.001769999973475933,0.004279999993741512,0.1433899998664856,0.2693600058555603,0.7355499863624573,0.06402683692314046,46.438350677490234,0.0005499999970197678
VTD/VotingDistrictsViewer.MapServer,MapServer,/export,1405.0,0.04108,1.0970474481582642,0.1581999957561493,0.4224900007247925,0.9292899966239929,1.1030900478363037,1.2394399642944336,1.5732200145721436,2.1067099571228027,4.595739841461182,0.4365206998581848,1541.3516845703125,0.018279999494552612
LUCA/BASEMAP_2016.MapServer,MapServer,/export,1309.0,0.03828,0.17710328102111816,0.04853000119328499,0.10678999871015549,0.13539999723434448,0.15898999571800232,0.22473999857902527,0.27344998717308044,0.3154999911785126,0.8490200042724609,0.06302280247430497,231.82818603515625,0.002749999985098839
PES_BCU/PES_BCU_Search.MapServer,MapServer,/export,1231.0,0.036,1.1488755941390991,0.04563000053167343,0.2444400042295456,0.39162999391555786,0.5803700089454651,0.8951799869537354,3.7126400470733643,14.198800086975098,33.226200103759766,2.670637499367094,1414.265869140625,0.016780000180006027
Audit_Data.MapServer,MapServer,layers/6/query,1194.0,0.03491,0.3643505871295929,0.000859999970998615,0.001610000035725534,0.002749999985098839,0.0038999998942017555,0.004209999926388264,2.854029893875122,5.340320110321045,10.065569877624512,1.1022053480497083,435.03460693359375,0.005160000175237656
Coll_Geo_2020/2020_Coll_Geo_Viewer_wBCU.MapServer,MapServer,/export,945.0,0.02763,0.9338273406028748,0.18663999438285828,0.31369999051094055,0.5258899927139282,0.669219970703125,0.9948800206184387,1.9576200246810913,5.832320213317871,32.79087829589844,1.4560108278377542,882.4668579101562,0.010470000095665455
VTD/VotingDistrictsViewer.MapServer,MapServer,layers/1/query,766.0,0.0224,0.06367054581642151,0.04162999987602234,0.05423999950289726,0.0558600015938282,0.05716999992728233,0.059220001101493835,0.14449000358581543,0.1547199934720993,0.3642599880695343,0.025052563687553108,48.77164077758789,0.0005799999926239252
Audit_Data.MapServer,MapServer,layers/7/query,594.0,0.01737,0.037622708827257156,0.0008299999753944576,0.0009599999757483602,0.001829999964684248,0.0027000000700354576,0.007569999899715185,0.2395399957895279,0.25172001123428345,0.5932999849319458,0.08044845665131019,22.347890853881836,0.0002699999895412475
Audit_Data.MapServer,MapServer,layers/5/query,516.0,0.01509,0.008234864100813866,0.0007900000200606883,0.0008900000248104334,0.0011399999493733048,0.0029100000392645597,0.0038999998942017555,0.02572000026702881,0.19867999851703644,0.6918799877166748,0.03967340396066613,4.249189853668213,4.999999873689376e-05
Coll_Geo_2020/BCU_73_pt.MapServer,MapServer,layers/0/query,442.0,0.01292,38.9487419128418,0.0017000000225380063,0.002369999885559082,0.015189999714493752,41.43925857543945,74.45075225830078,95.35945892333984,112.89862060546875,128.7580108642578,37.06408921049224,17215.34375,0.2042199969291687
