TITLE,OWNER,ID,TYPE,AUTHORITATIVE,TAGS,ACCESS,SHARED WITH ORG,SHARED WITH EVERYONE,SHARED WITH GROUPS,VIEWS,CREATED,HOMEPAGE,THUMBNAIL,DESCRIPTION,SIZE
ds_test,portaladmin,d1a67f4ea3704b02b9330f3551c37e3a,Feature Service,,,public,True,True,'ds_test',19,12/13/2019,https://dshaw1.esri.com/portal/home/item.html?id=d1a67f4ea3704b02b9330f3551c37e3a,,,0.0
SampleWorldCities,portaladmin,51bf3187e3d349b1aa856c5620d49dd8,WMS,,"'SampleWorldCities', 'WMSServer'",public,True,True,"'group1', 'ds_test', 'group2'",1,09/06/2019,https://dshaw1.esri.com/portal/home/item.html?id=51bf3187e3d349b1aa856c5620d49dd8,,The SampleWorldCities service is provided so you can quickly and easily preview the functionality of the GIS server. Click the thumbnail image to open in a web application. This sample service is optional and can be deleted.,0.0
Coronavirus_Cases_202003151133,dshaw,e20f1f456ef14ac59a5269c2acdca568,Map Service,,"'Coronavirus_Cases_202003151133', 'MapServer'",public,True,True,"'group1', 'ds_test', 'group2'",0,03/15/2020,https://dshaw1.esri.com/portal/home/item.html?id=e20f1f456ef14ac59a5269c2acdca568,,,8.5e-05
nc4,ksmith,1b132840582f4c4eb1c385d1d230cf62,Map Service,,'nc4',public,True,True,"'group1', 'ds_test', 'group2'",2,03/06/2020,https://dshaw1.esri.com/portal/home/item.html?id=1b132840582f4c4eb1c385d1d230cf62,thumbnail/thumbnail.JPEG,,5.8e-05
adfasdf,jscarmazzi,4e570bb4eabe414c94790926071ffb0c,Web Map,,'adasdf',public,True,True,"'group1', 'ds_test', 'group2'",2,02/15/2020,https://dshaw1.esri.com/portal/home/item.html?id=4e570bb4eabe414c94790926071ffb0c,,,0.000417
dasfasf,jscarmazzi,432ace96e7db4c05916363573a04ec45,Web Map,,'afasf',public,True,True,"'group1', 'ds_test', 'group2'",1,02/15/2020,https://dshaw1.esri.com/portal/home/item.html?id=432ace96e7db4c05916363573a04ec45,,,0.000412
location_tracking,portaladmin,ae731037ceb4488baf2e9bc338c0e94e,Feature Service,,,org,True,False,,0,12/13/2019,https://dshaw1.esri.com/portal/home/item.html?id=ae731037ceb4488baf2e9bc338c0e94e,,Location Tracking Service,0.0
Coronavirus_Cases_202003171317,dshaw,48c6974f17b5478699de3201be558f8c,Map Service,,"'Coronavirus_Cases_202003171317', 'MapServer'",public,True,True,"'group1', 'ds_test', 'group2'",0,03/17/2020,https://dshaw1.esri.com/portal/home/item.html?id=48c6974f17b5478699de3201be558f8c,,,8.5e-05
dsfas,ksmith,c6410e034de64df1a3e5684f778c1acc,Dashboard,,,public,True,True,"'group1', 'ds_test', 'group2'",2,01/10/2020,https://dshaw1.esri.com/portal/home/item.html?id=c6410e034de64df1a3e5684f778c1acc,,,0.0022440000000000003
shootings,portaladmin,d74fa915509c481fa125ec534b6c9a20,Web Map,,'shootings',public,True,True,"'group1', 'ds_test', 'group2'",17,02/21/2020,https://dshaw1.esri.com/portal/home/item.html?id=d74fa915509c481fa125ec534b6c9a20,,,0.002153
my_tracks,portaladmin,c8fc255ed21042209e6c2996612e41b4,Web Map,,'my_trcks',public,True,True,,6,12/26/2019,https://dshaw1.esri.com/portal/home/item.html?id=c8fc255ed21042209e6c2996612e41b4,thumbnail/ago_downloaded.png,,0.009124
my_tracks_dashboard,portaladmin,844aec5e98204786b5253017399f9c9a,Dashboard,,'my_trcks',private,False,False,,2,12/26/2019,https://dshaw1.esri.com/portal/home/item.html?id=844aec5e98204786b5253017399f9c9a,thumbnail/ago_downloaded.png,,0.002522
dc,portaladmin,f66e81281e194b2db34810e29792d45c,Data Store,,'dc',public,True,True,"'group1', 'ds_test', 'group2'",2,12/21/2019,https://dshaw1.esri.com/portal/home/item.html?id=f66e81281e194b2db34810e29792d45c,,,0.000408
2020 Census Response Rates,dshaw,5433f4d3d4ba4ff9822dd57859c2d317,Map Service,,'2020 census',public,True,True,"'group1', 'ds_test', 'group2'",1,03/23/2020,https://dshaw1.esri.com/portal/home/item.html?id=5433f4d3d4ba4ff9822dd57859c2d317,thumbnail/thumbnail.JPEG,,8.1e-05
homicides,ksmith,3b50c3cd4160419baa6749e2e528def2,Web Mapping Application,,'homicides',public,True,True,"'group1', 'ds_test', 'group2'",3,02/25/2020,https://dshaw1.esri.com/portal/home/item.html?id=3b50c3cd4160419baa6749e2e528def2,thumbnail/ago_downloaded.png,,0.002814
scooters,portaladmin,4f01b53a58e2440aaf2b6cc93d34d8ef,Map Service,,"'scooters', 'MapServer'",public,True,True,"'group1', 'ds_test', 'group2'",7,09/16/2019,https://dshaw1.esri.com/portal/home/item.html?id=4f01b53a58e2440aaf2b6cc93d34d8ef,thumbnail/thumbnail.JPEG,,6.3e-05
ArcGIS Enterprise Disaster Recovery Test,portaladmin,99f1755588e3463cb3a83adc64bd8f41,PDF,,'disaster recovery',private,False,False,,2,04/03/2020,https://dshaw1.esri.com/portal/home/item.html?id=99f1755588e3463cb3a83adc64bd8f41,,,0.28975
postgis,portaladmin,8f19db08862f464fbcc46b8014d5d4dc,Data Store,,'postgis',public,True,True,"'group1', 'ds_test', 'group2'",0,12/20/2019,https://dshaw1.esri.com/portal/home/item.html?id=8f19db08862f464fbcc46b8014d5d4dc,,,0.000723
homicides,ksmith,2fe843d8ef5b40baad56596e1d15c6f2,Web Map,,'homicides',public,True,True,"'group1', 'ds_test', 'group2'",4,12/20/2019,https://dshaw1.esri.com/portal/home/item.html?id=2fe843d8ef5b40baad56596e1d15c6f2,thumbnail/ago_downloaded.png,,0.001206
shooting web app,portaladmin,f528bff816b34ee6b80a7ce125e2466b,Web Mapping Application,,'shootings',public,True,True,"'group1', 'ds_test', 'group2'",5,04/03/2020,https://dshaw1.esri.com/portal/home/item.html?id=f528bff816b34ee6b80a7ce125e2466b,thumbnail/ago_downloaded.png,,0.0013080000000000001
Survey123,portaladmin,ace4d32d89b94c7f9755e9a4347f0675,Web Mapping Application,,'survey123',public,True,True,"'group1', 'ds_test', 'group2'",2,09/13/2019,https://dshaw1.esri.com/portal/home/item.html?id=ace4d32d89b94c7f9755e9a4347f0675,thumbnail/ago_downloaded.png,,0.0
SampleWorldCities,portaladmin,2268de0465ea429f8c1e5fb096491aba,Map Service,,"'SampleWorldCities', 'MapServer'",public,True,True,"'group1', 'ds_test', 'group2'",5,09/06/2019,https://dshaw1.esri.com/portal/home/item.html?id=2268de0465ea429f8c1e5fb096491aba,,The SampleWorldCities service is provided so you can quickly and easily preview the functionality of the GIS server. Click the thumbnail image to open in a web application. This sample service is optional and can be deleted.,7.199999999999999e-05
Coronavirus_Cases,dshaw,70a143d40a3c4d76ac5cf2962d7ea61d,Map Service,,"'Coronavirus_Cases', 'MapServer'",public,True,True,"'group1', 'ds_test', 'group2'",6,03/13/2020,https://dshaw1.esri.com/portal/home/item.html?id=70a143d40a3c4d76ac5cf2962d7ea61d,thumbnail/thumbnail.JPEG,,7.199999999999999e-05
shootings,jscarmazzi,1ef8c5d431ca4f7a9c7e1a7b7726eb55,Web Mapping Application,org_authoritative,'shootings',public,True,True,"'group1', 'ds_test', 'group2'",9,02/21/2020,https://dshaw1.esri.com/portal/home/item.html?id=1ef8c5d431ca4f7a9c7e1a7b7726eb55,,,0.018731
